#,Class,Status,Time
'1','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:04:47.836552'
'2','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:06:08.437220'
'3','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:07:29.018615'
'4','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:08:49.704259'
'5','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:10:10.358618'
'6','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:11:31.543113'
'7','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:12:52.245571'
'8','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:14:12.935675'
'9','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:15:33.677353'
'10','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:16:54.351676'
'11','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:18:14.992859'
'12','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:19:35.593487'
'13','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:20:56.205496'
'14','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:22:17.380287'
'15','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:23:38.039823'
'16','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:24:58.650137'
'17','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:26:19.246257'
'18','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:27:39.880718'
'19','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:29:00.518004'
'20','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:30:21.138528'
'21','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:31:41.727567'
'22','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:33:02.862869'
'23','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:34:23.491703'
'24','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:35:44.092530'
'25','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:37:04.743441'
'26','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:38:25.371666'
'27','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:39:45.957056'
'28','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:41:06.553194'
'29','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:42:27.175659'
'30','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:43:48.275997'
'31','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:45:08.908085'
'32','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:46:29.520493'
'33','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:47:50.122376'
'34','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:49:10.746438'
'35','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:50:31.325996'
'36','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:51:51.957578'
'37','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:53:12.563119'
'38','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:54:33.694904'
'39','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:55:54.324912'
'40','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:57:14.941200'
'41','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:58:35.535023'
'42','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 09:59:56.160296'
'43','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:01:16.749040'
'44','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:02:37.362571'
'45','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:03:58.036312'
'46','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:05:19.206675'
'47','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:06:39.800015'
'48','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:08:00.415895'
'49','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:09:21.023915'
'50','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:10:41.612192'
'51','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:12:02.237811'
'52','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:13:22.820918'
'53','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:14:43.445137'
'54','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:16:04.568042'
'55','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:17:25.183511'
'56','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:18:45.792093'
'57','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:20:06.426240'
'58','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:21:27.032603'
'59','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:22:47.634345'
'60','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:24:08.226054'
'61','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:25:28.813261'
'62','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:26:49.957396'
'63','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:28:10.576294'
'64','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:29:31.172391'
'65','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:30:51.764703'
'66','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:32:12.353475'
'67','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:33:32.958427'
'68','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:34:53.600580'
'69','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:36:14.226994'
'70','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:37:35.395670'
'71','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:38:56.023672'
'72','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:40:16.610864'
'73','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:41:37.232720'
'74','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:42:57.881385'
'75','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:44:18.507729'
'76','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:45:39.150265'
'77','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:46:59.731720'
'78','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:48:20.921040'
'79','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:49:41.536112'
'80','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:51:02.140491'
'81','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:52:22.775552'
'82','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:53:43.363541'
'83','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:55:03.992123'
'84','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:56:24.611178'
'85','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:57:45.230411'
'86','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 10:59:06.330887'
'87','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:00:26.969951'
'88','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:01:47.559410'
'89','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:03:08.175101'
'90','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:04:28.768557'
'91','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:05:49.363052'
'92','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:07:09.996857'
'93','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:08:30.634036'
'94','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:09:51.753844'
'95','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:11:12.379352'
'96','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:12:32.971609'
'97','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:13:53.585525'
'98','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:15:14.172262'
'99','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:16:34.794456'
'100','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:17:55.391225'
'101','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:19:16.037113'
'102','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:20:37.178352'
'103','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:21:57.814836'
'104','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:23:18.495936'
'105','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:24:39.099575'
'106','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:25:59.699845'
'107','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:27:20.331822'
'108','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:28:40.934497'
'109','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:30:01.561465'
'110','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:31:22.697308'
'111','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:32:43.286184'
'112','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:34:03.865595'
'113','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:35:24.447729'
'114','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:36:45.088506'
'115','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:38:05.695899'
'116','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:39:26.303943'
'117','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2023-05-11 11:40:46.922925'
