#,Class,Status,Time
'1','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:07:33.950234'
'2','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:07:53.913438'
'3','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:08:13.734526'
'4','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:09:25.375481'
'5','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:09:44.609594'
'6','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:10:04.441713'
'7','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:11:16.034341'
'8','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:11:35.277107'
'9','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:11:55.122104'
'10','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:13:06.698511'
'11','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:13:26.037354'
'12','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:13:45.775671'
'13','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:14:57.384641'
'14','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:15:16.682651'
'15','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:15:36.433862'
'16','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:16:48.044529'
'17','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:17:07.443823'
'18','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:17:27.075244'
'19','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:18:38.766537'
'20','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:18:58.064575'
'21','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:19:17.915624'
'22','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:20:29.445872'
'23','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:20:48.696019'
'24','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:21:08.657928'
'25','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:22:20.142185'
'26','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:22:39.349495'
'27','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:22:59.343510'
'28','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:24:10.803638'
'29','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:24:29.976068'
'30','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:24:50.007330'
'31','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:26:01.453611'
'32','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2023-01-19 02:26:20.660997'
'33','Hatha Basic 哈達基礎' by 'Una',FULL,'2023-01-19 02:26:40.649831'
'34','Yoga Tone 2' by 'Una',FULL,'2023-01-19 02:27:52.249268'
